"Category","Attribute","CurrentValue","PossibleValues","Description","Path"
"PowerManagement","LidSwitch","Enabled","Disabled; Enabled","Enables or disables the lid switch functions. Enabled - OS setting determines the display behavior when lid is closed. Disabled - Display will not be affected when lid is closed.","DellSmbios:\PowerManagement\LidSwitch"
"PowerManagement","TypeCPower","7.5W","7.5W; 15W","Configures the maximum power for type-C connector. Possible values are: 7.5 Watts and 15 Watts.","DellSmbios:\PowerManagement\TypeCPower"
"POSTBehavior","MacAddrPassThru","SystemUnique","SystemUnique; Disabled","This feature replaces the external NIC MAC address (in a supported dock or dongle) with the selected MAC address from the system. The default value is the System Unique MAC Address.
","DellSmbios:\POSTBehavior\MacAddrPassThru"
"POSTBehavior","SignOfLifeByKbdBacklight","Enabled","Disabled; Enabled","This option allows the system to indicate that, power button has been pressed during POST by turning on the keyboard backlight.","DellSmbios:\POSTBehavior\SignOfLifeByKbdBacklight"
"POSTBehavior","WarningsAndErr","PromptWrnErr","PromptWrnErr; ContWrn; ContWrnErr","During POST the system continues to boot or pauses when warnings or errors are detected. This feature can be used for the remotely managed systems that does not have a keyboard or a console for the user to respond. PromptWrnErr - System pauses for the user to respond when warnings or errors are detected.
ContWrn - System continues to boot when warnings are detected, but pauses for the user to respond when errors are detected. ContWrnErr - System continues to boot when warnings or errors are detected.","DellSmbios:\POSTBehavior\WarningsAndErr"
"POSTBehavior","PowerWarn","Enabled","Disabled; Enabled","Enables or disables display of warning messages when you use certain power adapters. The system displays these messages when you attempt to use a power adapter that has too little capacity for your configuration.","DellSmbios:\POSTBehavior\PowerWarn"
"POSTBehavior","Fastboot","Minimal","Minimal; Thorough; Auto","This option can speed up the boot process by bypassing some compatibility steps. Minimal - Reduces boot time by skipping certain hardware and configuration initialization during boot. Thorough - Performs complete hardware and configuration initialization during boot. Automatic - Allows the BIOS to decide configuration initialization to be performed during boot. Controls specific steps performed during boot to decrease boot time or increase boot checks.","DellSmbios:\POSTBehavior\Fastboot"
"POSTBehavior","FnLock","Enabled","Disabled; Enabled","This option controls the behavior of the Dual function keys, when Fn key is pressed and when it is not. Enabled - <Fn+Esc> key combination toggles the primary behavior of F1 to F12 between their normal and secondary functions. Disabled - You cannot toggle the primary behavior of these keys.","DellSmbios:\POSTBehavior\FnLock"
"POSTBehavior","FnLockMode","DisableStandard","DisableStandard; EnableSecondary","If Enabled, F1 - F12 keys behave as function keys holding Fn key is required to access their secondary functions. Without holding Fn key, the dual function keys behave as normally labeled.","DellSmbios:\POSTBehavior\FnLockMode"
"POSTBehavior","ExtPostTime","0s","0s; 5s; 10s","Creates an additional pre-boot delay for specified seconds to allow the user to see POST status messages.","DellSmbios:\POSTBehavior\ExtPostTime"
"POSTBehavior","FullScreenLogo","Disabled","Disabled; Enabled","Enables or disables the full screen logo that appears during BIOS POST.\n","DellSmbios:\POSTBehavior\FullScreenLogo"
